MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"HD 225213" "" "HD 225213|AC2000 3152964|CD-37 15492|Ci 20    3|Ci 18 3161|CPC 18    15|CPD-37  9435|GC    49|GCRV    31|GEN# +1.00225213|G 267-25|GJ     1|HIC    439|HIP    439|IRAS 00027-3737|JP11  3677|LFT    5|LHS     1|LPM 904|LTT    23|2MASS J00052423-3721257|NLTT   134|NSV 15017|PLX 5817|PLX 5817.00|PM 00025-3736|PM J00054-3721|SAO 192348|TYC 6995-1264-1|UBV   20691|UBV M  27443|WEB    60|YZC 29    15|Zkh   2|[GKL99]   1|[RHG95]     6" "" "" "HD 225213" "00 05 24.4282" "-37 21 26.501" "Flare Star" M2V 230.420 0.0000850 8.562000274658203 4.3400 pc ST-L
"BD+44  4548" "" "LHS  1014|** STT  547F|ADS    48 F|ASCC  296817|BD+44  4548|CCDM J00057+4548F|Ci 20    4|CSI+45  4408  6|GALEX 6372076894527948789|GCRV 74937|GCRV    34|GEN# +0.04404548|G 171-39|GJ     2|HIC    428|HIP    428|LFT    6|LSPM J0005+4547|LTT 10011|2MASS J00051079+4547116|MCC 216|NLTT   139|PM J00051+4547|PMSC 00002+4516F|TYC 3246-1142-1|UCAC2  47247056|USNO-B1.0 1357-00002534|VVO 118|WDS J00057+4549F|WEB    67|[RHG95]     7" "" "" "" "00 05 10.8887" "+45 47 11.647" "High proper-motion Star" M2Ve 88.880 -0.0000010 9.970000267028809 "" "" ""
"HD     55" "" "LHS  1015|CD-68  2378|Ci 20    5|CPC 21    10|CPD-68  3597|Gaia DR1 4706630496753986944|GCRV 50010|GEN# +1.00000055|GJ     3|HD     55|HIC    436|HIP    436|LFT    7|LPM   1|LTT    26|2MASS J00051767-6749577|NLTT   157|PLX    3|PLX    3.00|PM 00028-6806|PPM 775061|RAVE J000517.7-674957|TYC 9134-1936-1|UBV      10|UGP   1|WEB    71" "" "" "HD 55" "00 05 17.6886" "-67 49 57.322" "High proper-motion Star" K4.5V 61.140 0.0001370 8.484999656677246 148.1370 kpc ST-L
"HD     38A" "" "BD+45  4408A|** STT  547A|ADS    48 A|AG+45    2|ASCC  296851|CABS   2|CCDM J00057+4548A|CSI+45  4408  2|GC    71|GCRV    39|GEN# +1.00000038A|G 171-40A|GJ     4 A|HD     38A|LFT    8|LHS  1016|LSPM J0005+4548N|LTT 10014|2MASS J00054091+4548435|NLTT   172|PMSC 00002+4516A|SAO  36046|TYC 3246-874-1|USNO-B1.0 1358-00002866|VVO 119|WDS J00057+4549A|[RHG95]    11" "" "" "HD 38A" "00 05 41.0129" "+45 48 43.491" "Spectroscopic binary" K6V 85.100 0.0000120 8.826000213623047 "" "" ""
"HD     38B" "" "LHS  1017|** STT  547B|ADS    48 B|AG+45    3|ASCC  296852|BD+45  4408B|CCDM J00057+4548B|CSI+45  4408  1|GC    72|GCRV    40|GEN# +1.00000038B|GJ     4 B|HD     38B|LFT    9|LSPM J0005+4548S|LTT 10015|2MASS J00054090+4548374|NLTT   173|PMSC 00002+4516B|SAO  36048|TYC 3246-874-2|USNO-B1.0 1358-00002867|VVO 120|WDS J00057+4549B|WEB    78|[RHG95]    12" "" "" "HD 38B" "00 05 40.342" "+45 48 38.73" "High proper-motion Star" M0.5V "" 0.0000060 8.994999885559082 "" "" ""
"HD    123" "" "V* V640 Cas|** STF 3062|ADS    61 AB|AG+58   10|ASCC  154750|BD+57  2865|CCDM J00063+5826AB|CSI+57  2865  1|EUVE J0006+58.4|GC    88|GEN# +1.00000123J|G 243-13|GJ  9001|GJ     4.1|HD    123|HIC    518|HIP    518|HR     5|IDS 00010+5753 AB|IRAS 00036+5809|LSPM J0006+5826|LTT 10022|2MASS J00061575+5826128|NLTT   213|PLX    7|PMSC 00010+5752|PPM  25002|1RXS J000615.1+582610|SAO  21085|SBC9 1522|SKY#   188|UBV      17|USNO-B1.0 1484-00003998|uvby98 100000123 ABV|WDS J00063+5826AB|WEB    85|YZC 27 14675|YZ  58 14675" "" "" "HD 123" "00 06 15.8141" "+58 26 12.220" "Spectroscopic binary" G3V+G8V 46.560 -0.0000460 5.929999828338623 "" "" ""
"HD    123A" "" "BD+57  2865A|** STF 3062A|ADS    61 A|CSI+57  2865  2|GCRV    44|GJ     4.1 A|GJ  9001 A|HD    123A|PMSC 00010+5752A|TYC 3664-1986-1|UBV      15|WDS J00063+5826A" "" "" "HD 123A" "00 06 15.839" "+58 26 12.35" "High proper-motion Star" G3V "" -0.0000390 6.420000076293945 "" "" ""
"HD    123B" "" "BD+57  2865B|** STF 3062B|ADS    61 B|CSI+57  2865  3|GCRV    45|GJ     4.1 B|GJ  9001 B|HD    123B|IDS 00010+5753 B|PMSC 00010+5752Bab|PMSC 00010+5752B|TYC 3664-1986-2|UBV      16|WDS J00063+5826B|WEB    87" "" "" "HD 123B" "00 06 15.699" "+58 26 13.30" "High proper-motion Star" G8V "" -0.0000530 7.320000171661377 "" "" ""
"HD    142A" "" "LHS  1020|** HDO  180A|CCDM J00063-4905A|CD-49 14337A|CSI-49 14337 21|GJ  9002 A|GJ     4.2 A|HD    142A|IDS 00011-4938 A|2MASS J00061921-4904307|NLTT   217|TYC 8025-341-1|WDS J00063-4905A" "" "" "HD 142A" "00 06 19.175" "-49 04 30.67" "High proper-motion Star" F7V "" 0.0000090 5.760000228881836 "" "" ""
"HD    142B" "" "LHS  1021|** HDO  180B|CCDM J00063-4905B|CD-49 14337B|CPD-49 11858B|CSI-49 14337 22|GJ  9002 B|GJ     4.2 B|HD    142B|IDS 00011-4938 B|2MASS J00061919-4904348|NLTT   218|WDS J00063-4905B|[RHG95]    17" "" "" "HD 142B" "00 06 19.195" "-49 04 34.81" "High proper-motion Star" K5 "" "" 11.5 "" "" ""
"HD    166" "" "V* V439 And|** ENG    1A|** STT  549A|ADS    69 A|AG+28    4|ASCC  647404|BD+28  4704|CCDM J00065+2900A|Ci 20    9|CSI+28  4704  1|1E 0004.0+2844|2E    15|2E 0004.0+2844|1ES 0004+28.7|EUVE J0006+29.0|Gaia DR1 2860924685628241024|GC    95|GCRV    51|GEN# +1.00000166|GJ     5|GSC 01735-00927|GSC 01735-02532|HD    166|HIC    544|HIP    544|HR     8|IDS 00014+2829 A|IRAS 00040+2844|LSPM J0006+2901|LTT 10023|2MASS J00063674+2901175|N30   12|NLTT   235|NSV    33|PLX    9|PLX    9.00|PPM  89410|RBS    15|RX J0006.6+2901|1RXS J000636.8+290112|SAO  73743|SKY#   200|SPOCS    4|TYC 1735-927-1|UBV      29|UBV M   7136|USNO-B1.0 1190-00001748|USNO-A2.0 1125-00043457|uvby98 100000166|WDS J00066+2901A|WEB    97|WISE J000637.09+290115.4|YZ  28     3|[B10]     6|[ZEH2003] RX J0006.6+2901  1" "" "" "HD 166" "00 06 36.7842" "+29 01 17.412" "Variable of BY Dra type" K0V 72.630 -0.0000220 6.130000114440918 "" "" ""
"HD    400" "" "HD    400|AG+36    9|ASCC  453541|BD+35     8|GC   131|GCRV    65|GEN# +1.00000400|GJ     6|GSC 02271-01441|HIC    699|HIP    699|HR    17|IRAS 00060+3620|LSPM J0008+3637|2MASS J00084037+3637377|PLX   13|PLX   13.00|PPM  65041|ROT    59|SAO  53677|SKY#   253|SPOCS    7|TD1    36|TYC 2271-1441-1|UBV      90|UBV M   7161|UBV M   7191|USNO-B1.0 1266-00002314|uvby98 100000400|WEB   119" "" "" "HD 400" "00 08 40.9383" "+36 37 37.647" "High proper-motion Star" F8IV 30.820 -0.0000500 6.202000141143799 "" "" ""
"CD-27    16" "" "LHS  1026|APMPM J0009-2707|BPM 46048|CD-27    16|CSI-27    16 20|EGM   8|GEN# +6.00246048|GEN# -0.02700016|G 266-57|G 267-38|GJ     7|HIC    738|HIP    738|LEHPM  235|LFT   14|L  578-58|LPM   6|LTT    58|2MASS J00090428-2707196|NLTT   390|PLX   16.1|PLX   16.10|PM J00090-2707|PM 00065-2724|TYC 6415-1134-1|UCAC4 315-000209|[RHG95]    27" "" "" "" "00 09 04.3609" "-27 07 19.682" "High proper-motion Star" M0V 42.650 -0.0000900 11.670000076293945 23.4500 pc ST-L
