MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"M   1" "NAME Taurus A" "M   1|3A 0531+219|AJG   1|ARGO J0535+2203|2C  481|3C 144|3C 144.0|4C 21.19|3CR 144|CTA  36|CTB 18|Cul 0531+21|Cul 0531+219|DA 179|DB  38|2E  1309|2E 0531.5+2159|1ES 0532+21.5|3FGL J0534.5+2201i|GRS G184.60 -05.80|1H 0531+219|H 0534+21|H 0531+219|IRAS 05314+2200|LBN   833|LBN 184.62-05.65|1M 0531+219|Mills 05+2A|NAME Taurus A|NAME Tau A|NAME Crab Nebula|NAME Crab|NAME CRAB NEB|NGC  1952|NRAO 214|NRL  2|NVSS J053428+220202|PBC J0534.5+2201|PKS 0531+219|SH  2-244|SIM 0531+21.0|SNR G184.6-05.8|SWIFT J0534.6+2204|SWIFT J0534.5+2200|TeV J0534+220|2U 0531+22|3U 0531+21|4U 0531+21|VRO 21.05.01|W  9|X Tau X-1|X Tau XR-1|[BM83] X0531+219|[DGW65]  25|[PT56]  5" "NGC 1952" "M 1" "" "05 34 31.94" "+22 00 52.2" "SuperNova Remnant" "" "" "" "" 2.0000 kpc ""
"M   2" "" "M   2|BD-01  4175|C 2130-010|GCl 121|GCRV 13546|HD 205146|NGC  7089|[KPS2012] MWSC 3526" "NGC 7089" "M 2" "HD 205146" "21 33 27.02" "-00 49 23.7" "Globular Cluster" "" "" -0.0000220 6.25 0.0120 Mpc ""
"M   3" "" "M   3|C 1339+286|Cl Melotte    3|GCl  25|NGC  5272|[KPS2012] MWSC 2152|[ZEH2003] RX J1342.1+2822  1" "NGC 5272" "M 3" "" "13 42 11.62" "+28 22 38.2" "Globular Cluster" "" "" -0.0004710 6.389999866485596 0.0100 Mpc ""
"M   4" "" "M   4|C 1620-264|CD-26 11314|GCl  41|GCRV  5569 E|HD 147552|NGC  6121|[KPS2012] MWSC 2396" "NGC 6121" "M 4" "HD 147552" "16 23 35.22" "-26 31 32.7" "Globular Cluster" "" "" 0.0002350 "" 0.0020 Mpc ""
"M   5" "" "M   5|C 1516+022|GCl  34|GCRV  5244 E|NGC  5904|[KPS2012] MWSC 2286" "NGC 5904" "M 5" "" "15 18 33.22" "+02 04 51.7" "Globular Cluster" "" "" 0.0001730 5.949999809265137 0.0080 Mpc ""
"NGC  6405" "NAME Butterfly Cluster" "M   6|C 1736-321|Cl VDBH  242|NAME Butterfly Cluster|NGC  6405|OCl 1030.0|[KPR2004b] 408|[KPS2012] MWSC 2661|[SC95] M  38|[SC95] M  43|[SC96] GC 128|[SC96] GC 130|[SC96] GC 137|[SC96] Mis  588|[SC96] Mis  589|[SC96] Mis  607" "NGC 6405" "M 6" "" "17 40 20" "-32 15.2" "Open (galactic) Cluster" "" "" -0.0000240 4.199999809265137 0.4000 kpc ST-L
"NGC  6475" "NAME Ptolemy's Cluster" "M   7|C 1750-348|Cl VDBH  254|NAME Ptolemy's Cluster|NGC  6475|OCl 1028.0|[KPR2004b] 420|[KPS2012] MWSC 2739|[SC96] GC 228|[SC96] GC 243|[SC96] Mis  753|[SC96] Mis  774" "NGC 6475" "M 7" "" "17 53 51" "-34 47.6" "Open (galactic) Cluster" "" "" -0.0000710 3.299999952316284 300.0000 pc ST-L
"M   8" "NAME Lagoon Nebula" "M   8|CTB 46|GRS G006.00 -01.20|GRS G006.20 -01.20|Kes 58|LBN 006.06-01.23|LBN    25|LMH 11|MM 10|Mol  37|NAME Lagoon Nebula|NAME Lagoon|NRL 11|OCISM   1|PMN J1803-2422|SH  2-25|W 29|[KC97c] G006.0-01.2|[L89b]   5.973-01.178" "" "M 8" "" "18 03 37" "-24 23.2" "HII (ionized) region" "" "" 0.0000130 "" "" "" ""
"M   9" "" "M   9|BD-18  4488|C 1716-184|FAUST 4082|GCl  60|GCRV  9989|HD 156587|NGC  6333|[FBA2002] 102|[KPS2012] MWSC 2567" "NGC 6333" "M 9" "HD 156587" "17 19 11.78" "-18 30 58.5" "Globular Cluster" "" "" 0.0007640 8.420000076293945 "" "" ""
"M  10" "" "M  10|C 1654-040|GCl  49|GCRV 68711|NGC  6254|[KPS2012] MWSC 2498" "NGC 6254" "M 10" "" "16 57 09.05" "-04 06 01.1" "Globular Cluster" "" "" 0.0002520 4.980000019073486 0.0040 Mpc ""
