MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"* alf CMa A" "NAME Sirius A" "NAME Sirius A|* alf CMa A|** AGC    1A|ADS  5423 A|BD-16  1591A|CCDM J06451-1643A|CEL   1368|Ci 20  396|CSI-16  1591  1|FK5  257|GAT  474|GCRV  4392|GEN# +1.00048915A|GJ   244 A|HD  48915A|HGAM    556|IDS 06408-1635 A|JP11  1425|LFT  486|LPM 243|LTT  2638|N30 1470|NLTT 16953|8pc 379.21A|PLX 1577|PMC 90-93   186|PM 06430-1639A|PPM 217626|Renson 13090|ROT  1088|SBC7   288|SBC9 416|SKY# 11855|TYC 5949-2777-1|UBV M  12413|USNO 816|uvby98 100048915 A|WDS J06451-1643A|Zkh  91" 0 0 "HD 48915A" "06 45 08.917" "-16 42 58.02" "Spectroscopic binary" A1V 0.0 -1.8e-05 -1.090000033378601
"* alf Boo" "NAME Arcturus" "NAME Arcturus|* alf Boo|*  16 Boo|AG+19 1335|ASCC  870215|BD+19  2777|Ci 20  843|CSV 101433|FK5  526|GAT 1341|GC 19242|GCRV  8341|GEN# +1.00124897|GJ   541|HD 124897|HIC  69673|HIP  69673|HR  5340|IRAS 14133+1925|IRC +20270|JP11  2486|LFT 1084|LHS    48|LSPM J1415+1910|LTT 14184|2MASS J14153968+1910558|N30 3229|NLTT 36756|NSV  6603|PLX 3242|PLX 3242.00|PMC 90-93   376|PM 14134+1927|PM 14134-1927|PPM 130442|RAFGL 1693|ROT  2044|SAO 100944|SKY# 26028|SRS  30526|SV* ZI  1054|TD1 17351|TYC 1472-1436-1|UBV   12551|UBV M  20076|USNO-B1.0 1091-00221874|USNO 850|uvby98 100124897|WEB 12132|YPAC  52|[HFE83] 1018|AAVSO 1411+19" 0 0 "HD 124897" "14 15 39.6720" "+19 10 56.673" "Red Giant Branch star" K1.5IIIFe-0.5 88.83 -1.7e-05 -0.05000000074505806
"*   1 Hya B" 0 "BD-03  2333B|*   1 Hya B|** TOK   20B|GJ   306 B|HD  70958B|2MASS J08243379-0344342|UCAC3 173-103614|UCAC4 432-045745|WDS J08246-0345B" 0 0 "HD 70958B" "08 24 33.791" "-03 44 34.27" "Low-mass star (M<1solMass)" M4.5 0.0 0.0 0.0
"GJ   536 b" 0 "GJ   536 b" 0 0 0 "14 01 03.1891" "-02 39 17.521" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   516 B" 0 "NLTT 34412|** VYS    6B|AC +18  1204-96 B|ASCC  868993|CCDM J13327+1649B|CSI+17-13303  2|GJ   516 B|IDS 13279+1720 B|LSPM J1332+1648E|UCAC4 535-054898|USNO-B1.0 1068-00241351|VVO 247|WDS J13328+1649B|WEB 11676|[GKL99] 282|[RHG95]  2133" 0 0 0 "13 32 44.783" "+16 48 40.89" "High proper-motion Star" M4Ve 0.0 2.7e-05 0.0
"GJ   506 d" 0 "GJ   506 d|*  61 Vir d" 0 0 0 "13 18 24.3142" "-18 18 40.304" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   506 c" 0 "GJ   506 c|*  61 Vir c" 0 0 0 "13 18 24.3142" "-18 18 40.304" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   506 b" 0 "GJ   506 b|*  61 Vir b" 0 0 0 "13 18 24.3142" "-18 18 40.304" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   504 b" 0 "GJ   504 b" 0 0 0 "13 16 46.5159" "+09 25 26.959" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   488.2 B" 0 "GJ   488.2 B|** LDS 4294B|CCDM J12549-0620B|2MASS J12545514-0620038|NLTT 32281|UCAC3 168-126280|WDS J12549-0620B|[GKL99] 271|[RHG95]  2032" 0 0 0 "12 54 55.116" "-06 20 03.94" "Flare Star" M5.0V 0.0 0.0 0.0
"GJ   458.1 B" 0 "GJ   458.1 B|WDS J12125-0305B" 0 0 0 "12 12 28.9" "-03 05 03" Star 0 0.0 0.0 0.0
"GJ   458.1 A" 0 "GJ   458.1 A|WDS J12125-0305A" 0 0 0 "12 12 29.20" "-03 05 07.8" Star 0 0.0 0.0 0.0
"GJ   436 d" 0 "GJ   436 d" 0 0 0 "11 42 11.094" "+26 42 23.65" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   436 c" 0 "GJ   436 c" 0 0 0 "11 42 11.094" "+26 42 23.65" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   436 b" 0 "GJ   436 b" 0 0 0 "11 42 11.094" "+26 42 23.65" "Extra-solar Confirmed Planet" 0 98.95 0.0 0.0
"GJ   397 B" 0 "GJ   397 B|WDS J10314+4532B" 0 0 0 "10 31 24.00" "+45 31 33.8" Star 0 0.0 0.0 0.0
"GJ   397 A" 0 "GJ   397 A|WDS J10314+4532A" 0 0 0 "10 31 24.22" "+45 31 33.8" Star 0 0.0 0.0 0.0
"GJ   317 c" 0 "GJ   317 c" 0 0 0 "08 40 59.24" "-23 27 23.3" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   317 b" 0 "GJ   317 b" 0 0 0 "08 40 59.24" "-23 27 23.3" "Extra-solar Confirmed Planet" 0 65.34 0.0 0.0
"GJ   235 A" 0 "GJ   235 A|CCDM J06323+5225A|IDS 06243+5229 A|WDS J06323+5225A" 0 0 0 "06 32 18.38" "+52 24 50.2" "Star in double system" 0 0.0 0.0 0.0
"GJ   221 d" 0 "GJ   221 d" 0 0 0 "05 53 00.2846" "-05 59 41.436" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   221 c" 0 "BD-06  1339c|GJ   221 c" 0 0 0 "05 53 00.2846" "-05 59 41.436" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   221 b" 0 "BD-06  1339b|GJ   221 b" 0 0 0 "05 53 00.2846" "-05 59 41.436" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   216 D" 0 "GJ   216 D|Zkh  77" 0 0 0 "05 44.3" "-22 27" Star M3V 0.0 0.0 0.0
"GJ   195 A" "NAME Capella H" "G  96-29|** ST    3H|AC +45   217|ADS  3841 H|AG+45  515|ASCC  317074|CCDM J05168+4559H|Ci 20  323|CSI+45-05137  2|CSI+45  1077  8|EUVE J0517+45.8|EXO 051342+4547.5|Furuhjelm  III-1357|GCRV  3130|GJ   195 A|LSPM J0517+4550|LTT 11622|2MASS J05172386+4550229|NAME Capella H|NLTT 14788|PLX 1193.00A|PLX 1193|PM J05173+4550|PMSC 05093+4553H|PPM  47938|PPMX J051723.8+455022|1RXS J051725.0+455033|UBV    5010|VVO 237|WDS J05167+4600H|WEB  4770|2XMMi J051724.1+455019|[RHG95]   895" 0 0 0 "05 17 23.728" "+45 50 22.97" "High proper-motion Star" M2.5V 76.0 0.00012 0.0
"GJ   191 c" 0 "GJ   191 c" 0 0 0 "05 11 40.5811" "-45 01 06.289" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   191 b" 0 "GJ   191 b" 0 0 0 "05 11 40.5811" "-45 01 06.289" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   180 c" 0 "GJ   180 c" 0 0 0 "04 53 49.9797" "-17 46 24.294" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   559.1 B" 0 "GJ   559.1 B|WDS J14390+6417B" 0 0 0 "14 39 00.2" "+64 17 30" Star 0 0.0 0.0 0.0
"GJ   180 b" 0 "GJ   180 b" 0 0 0 "04 53 49.9797" "-17 46 24.294" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   570 D" 0 "2MASS J14571496-2121477|GJ   570 D|2MASSW J1457150-212148|8pc 169.32D|WDS J14575-2125G|WISEP J145715.85-212207.6|WISEP J145715.84-212207.5" 0 0 0 "14 57 14.96" "-21 21 47.8" "Brown Dwarf (M<0.08solMass)" T8 169.3 0.0 0.0
"GJ   577 B" 0 "GJ   577 B|WDS J15058+6403Ab" 0 0 0 "15 05 50.07" "+64 02 49.0" Star M5V 0.0 0.0 0.0
